l_ipn,r_asn,f,year,month,day,dayofweek,f_scaled
2,4513,101,2006,7,3,0,0.0012291297465355587
2,4766,1,2006,7,3,0,-0.016117355187611336
2,5617,10,2006,7,3,0,-0.014556171543538115
2,6106,1,2006,7,3,0,-0.016117355187611336
2,7018,933,2006,7,3,0,0.1455518843986377
2,7065,1,2006,7,3,0,-0.016117355187611336
2,7132,5,2006,7,3,0,-0.015423495790245458
2,7377,94,2006,7,3,0,1.4875801145276025e-05
2,9316,1,2006,7,3,0,-0.016117355187611336
2,9394,1,2006,7,3,0,-0.016117355187611336
2,12260,4,2006,7,3,0,-0.015596960639586929
2,16572,8,2006,7,3,0,-0.014903101242221052
2,18229,1,2006,7,3,0,-0.016117355187611336
2,19306,3,2006,7,3,0,-0.015770425488928395
2,29863,8,2006,7,3,0,-0.014903101242221052
2,30099,4,2006,7,3,0,-0.015596960639586929
3,680,2,2006,7,3,0,-0.015943890338269866
3,3269,6,2006,7,3,0,-0.01525003094090399
3,4134,6,2006,7,3,0,-0.01525003094090399
3,4230,1,2006,7,3,0,-0.016117355187611336
3,4513,1,2006,7,3,0,-0.016117355187611336
3,4766,2,2006,7,3,0,-0.015943890338269866
3,4808,1,2006,7,3,0,-0.016117355187611336
3,7132,1,2006,7,3,0,-0.016117355187611336
3,9271,1,2006,7,3,0,-0.016117355187611336
3,9394,1,2006,7,3,0,-0.016117355187611336
3,17429,1,2006,7,3,0,-0.016117355187611336
3,18229,1,2006,7,3,0,-0.016117355187611336
3,19318,1,2006,7,3,0,-0.016117355187611336
4,3269,6,2006,7,3,0,-0.01525003094090399
4,4513,101,2006,7,3,0,0.0012291297465355587
4,4766,1,2006,7,3,0,-0.016117355187611336
4,7132,15,2006,7,3,0,-0.01368884729683077
4,9394,1,2006,7,3,0,-0.016117355187611336
4,9803,2,2006,7,3,0,-0.015943890338269866
4,14777,2,2006,7,3,0,-0.015943890338269866
4,18229,1,2006,7,3,0,-0.016117355187611336
4,22855,34,2006,7,3,0,-0.01039301515934286
4,31976,82,2006,7,3,0,-0.0020667023909523513
5,680,2,2006,7,3,0,-0.015943890338269866
5,2152,2,2006,7,3,0,-0.015943890338269866
5,3269,6,2006,7,3,0,-0.01525003094090399
5,3561,4,2006,7,3,0,-0.015596960639586929
5,4134,3,2006,7,3,0,-0.015770425488928395
5,4230,2,2006,7,3,0,-0.015943890338269866
5,4513,2,2006,7,3,0,-0.015943890338269866
5,4766,1,2006,7,3,0,-0.016117355187611336
5,4808,3,2006,7,3,0,-0.015770425488928395
5,6432,4,2006,7,3,0,-0.015596960639586929
5,7132,2,2006,7,3,0,-0.015943890338269866
5,8070,6,2006,7,3,0,-0.01525003094090399
5,8075,6,2006,7,3,0,-0.01525003094090399
5,9156,1,2006,7,3,0,-0.016117355187611336
5,9271,2,2006,7,3,0,-0.015943890338269866
5,9316,1,2006,7,3,0,-0.016117355187611336
5,9394,1,2006,7,3,0,-0.016117355187611336
5,12222,3,2006,7,3,0,-0.015770425488928395
5,13867,2,2006,7,3,0,-0.015943890338269866
5,14779,1,2006,7,3,0,-0.016117355187611336
5,15169,3,2006,7,3,0,-0.015770425488928395
5,18229,2,2006,7,3,0,-0.015943890338269866
5,19318,6,2006,7,3,0,-0.01525003094090399
5,21844,1,2006,7,3,0,-0.016117355187611336
5,22781,1,2006,7,3,0,-0.016117355187611336
5,26085,1,2006,7,3,0,-0.016117355187611336
5,26101,2,2006,7,3,0,-0.015943890338269866
5,26201,1,2006,7,3,0,-0.016117355187611336
6,680,2,2006,7,3,0,-0.015943890338269866
6,3269,6,2006,7,3,0,-0.01525003094090399
